Ticker,Month,Avg_Close,Max_Close,Min_Close,Total_Volume
ADANIENT.NS,2020-01,216.73,230.1055450439453,197.66493225097656,84990733
ADANIENT.NS,2020-02,240.32,256.2066345214844,216.58447265625,75284160
ADANIENT.NS,2020-03,160.27,223.61741638183597,120.60704040527344,91280370
ADANIENT.NS,2020-04,139.13,146.3445281982422,128.73728942871094,62516129
ADANIENT.NS,2020-05,138.48,147.9905242919922,131.2312469482422,68687648
ADANIENT.NS,2020-06,152.43,161.757080078125,145.84573364257812,109059623
ADANIENT.NS,2020-07,162.77,178.666015625,147.39198303222656,87015119
ADANIENT.NS,2020-08,223.92,306.80474853515625,171.83261108398438,225494825
ADANIENT.NS,2020-09,287.37,297.5771789550781,269.7946472167969,172657113
ADANIENT.NS,2020-10,316.56,338.8768615722656,306.2560729980469,116033307
ADANIENT.NS,2020-11,374.3,408.0588073730469,340.27349853515625,108853748
ADANIENT.NS,2020-12,457.48,489.6606140136719,420.8776550292969,132288318
ADANIENT.NS,2021-01,515.78,545.4251708984375,489.7104797363281,90013005
ADANIENT.NS,2021-02,705.61,841.4561157226562,535.8982543945312,197824433
ADANIENT.NS,2021-03,931.61,1055.835205078125,849.4367065429688,195970812
ADANIENT.NS,2021-04,1152.74,1222.4307861328125,1071.7965087890625,201670814
ADANIENT.NS,2021-05,1290.35,1323.485107421875,1217.3929443359375,157350068
ADANIENT.NS,2021-06,1534.05,1696.828125,1364.3858642578125,334853920
ADANIENT.NS,2021-07,1408.63,1487.595458984375,1363.2672119140625,97114255
ADANIENT.NS,2021-08,1459.02,1584.772216796875,1394.212158203125,92445588
ADANIENT.NS,2021-09,1506.58,1579.18212890625,1416.32275390625,73266296
ADANIENT.NS,2021-10,1534.71,1643.4173583984375,1396.0589599609375,57811330
ADANIENT.NS,2021-11,1641.01,1759.90966796875,1442.7257080078125,56435685
ADANIENT.NS,2021-12,1691.16,1747.881103515625,1587.117919921875,33501701
ADANIENT.NS,2022-01,1773.24,1874.4552001953125,1682.9970703125,39454077
ADANIENT.NS,2022-02,1710.9,1782.9185791015625,1541.199951171875,30103337
ADANIENT.NS,2022-03,1768.14,2011.1611328125,1561.2640380859375,33084069
ADANIENT.NS,2022-04,2213.2,2391.03369140625,2040.0098876953125,40068588
ADANIENT.NS,2022-05,2152.97,2335.332763671875,2041.556884765625,33918429
ADANIENT.NS,2022-06,2161.68,2223.582275390625,2076.04541015625,40585829
ADANIENT.NS,2022-07,2403.96,2565.680419921875,2228.22412109375,23823202
ADANIENT.NS,2022-08,2937.12,3189.97412109375,2656.506103515625,47295403
