Date,Open,High,Low,Close,Volume,Ticker,Daily_Return_%,Is_Anomaly
2020-01-06,205.7874670364664,205.7874670364664,195.88193312376043,197.66493225097656,4353179,ADANIENT.NS,-4.2,True
2020-01-09,199.99272859176895,206.92660250193933,199.99272859176895,206.0351104736328,3496063,ADANIENT.NS,3.23,True
2020-01-17,213.9595300025614,227.0843622828111,211.68125420645697,226.2423858642578,10810744,ADANIENT.NS,3.82,True
2020-02-03,219.60567813730825,222.52780754298865,213.5633116757503,218.813232421875,2720614,ADANIENT.NS,-3.73,True
2020-02-05,224.60797721418757,237.0394250619812,220.44765607262,234.0182342529297,8985919,ADANIENT.NS,4.79,True
2020-02-24,252.3929871767458,253.43307117833044,241.7940697505151,244.914306640625,3309214,ADANIENT.NS,-4.41,True
2020-02-27,239.1691071690561,239.1691071690561,229.857911575632,231.9380645751953,3568055,ADANIENT.NS,-3.56,True
2020-02-28,218.9122789534222,224.65749110725525,214.9500657596951,216.58447265625,3364181,ADANIENT.NS,-6.62,True
2020-03-03,218.91228801942745,226.490015020396,217.1788196753822,223.61741638183597,2992170,ADANIENT.NS,3.27,True
2020-03-06,213.0680437321895,214.7024508066588,205.53983179876215,212.72134399414065,4375226,ADANIENT.NS,-3.16,True
2020-03-09,205.0445339647125,206.53036392097857,195.38663924898333,197.81349182128903,2763988,ADANIENT.NS,-7.01,True
2020-03-12,178.39865347625474,182.1627438844593,158.93427226972668,160.6182098388672,4834390,ADANIENT.NS,-17.16,True
2020-03-13,144.57126557484207,159.8257969896771,128.52430353244813,147.34481811523438,7463176,ADANIENT.NS,-8.26,True
2020-03-16,139.668025269099,140.95574767394166,127.43468509506108,133.4275360107422,6582749,ADANIENT.NS,-9.45,True
2020-03-20,136.69638477503037,140.26238346719435,127.48423408247932,136.3992156982422,4496351,ADANIENT.NS,6.83,True
2020-03-23,122.75183211437503,134.67287220196377,117.91357839468984,120.60704040527344,1456143,ADANIENT.NS,-11.58,True
2020-03-24,124.69710690563478,132.62783986047015,116.11794747270858,130.03414916992188,5125923,ADANIENT.NS,7.82,True
2020-03-26,134.67289236140124,151.63170102913324,131.73004331342287,139.91017150878906,7980255,ADANIENT.NS,6.01,True
2020-03-27,145.64621758461,150.6341017484665,125.9440751373768,127.68983459472656,4378366,ADANIENT.NS,-8.73,True
2020-03-31,131.3808735131478,138.1145175280544,129.13632550817894,137.26658630371094,2200227,ADANIENT.NS,6.92,True
2020-04-03,133.67529155755636,134.27384372788296,127.6898307415464,128.73728942871094,1761897,ADANIENT.NS,-3.66,True
2020-04-07,130.68256316299525,141.15711975239563,130.68256316299525,137.8152313232422,2463474,ADANIENT.NS,7.05,True
2020-04-09,139.66075249772297,145.89560751994273,139.66075249772297,142.1048126220703,2359428,ADANIENT.NS,3.15,True
2020-04-21,142.6534950596653,142.6534950596653,133.82493350745636,135.62057495117188,3576177,ADANIENT.NS,-7.33,True
2020-04-24,136.81764176401808,140.20941176257662,133.77504492979597,134.32369995117188,1823167,ADANIENT.NS,-4.16,True
2020-04-28,135.6205747193207,141.55615415155873,134.72276160990546,138.96246337890625,5721109,ADANIENT.NS,3.49,True
2020-05-04,136.56827434031996,137.1668265814015,129.6849996769614,131.2312469482422,6012691,ADANIENT.NS,-6.97,True
2020-05-18,144.4491374701464,146.04525136938628,134.02446195961008,135.57069396972656,4941536,ADANIENT.NS,-3.65,True
2020-05-29,140.75809249574223,153.22780248927666,140.75809249574223,147.9905242919922,9162612,ADANIENT.NS,4.0,True
2020-06-05,148.53918094459638,154.62440557531843,148.09027442438568,152.08058166503906,4111095,ADANIENT.NS,3.01,True
2020-06-19,149.23750737652992,154.0258642243549,148.53919138289152,152.32998657226562,5245179,ADANIENT.NS,3.28,True
2020-06-25,152.87864639291274,168.78999349515323,152.62925218998794,161.25828552246094,14608370,ADANIENT.NS,4.43,True
2020-07-08,167.59292621261503,169.08929162522767,161.00891230839298,162.60504150390625,3650115,ADANIENT.NS,-3.06,True
2020-07-14,155.52222217134633,155.87138015161173,148.63894811257694,149.3871307373047,2352010,ADANIENT.NS,-4.04,True
2020-07-20,152.77888458209603,161.5076817963937,151.7314410938318,160.3105926513672,6329853,ADANIENT.NS,6.0,True
2020-07-21,161.05880642079185,167.69270271983626,158.71450956290596,166.89463806152344,6517373,ADANIENT.NS,4.11,True
2020-07-28,165.89702381310855,174.47617510462163,163.4030818292128,173.12945556640625,4829045,ADANIENT.NS,4.58,True
2020-07-29,173.57836772368353,190.38754333047865,171.63309595734995,178.666015625,15392378,ADANIENT.NS,3.2,True
2020-08-04,173.57835920009427,183.5541269702146,171.78271795710987,181.6587371826172,4208453,ADANIENT.NS,5.72,True
2020-08-06,179.6635896976595,187.5444404135456,177.06988390108694,185.49940490722656,6447296,ADANIENT.NS,3.54,True
2020-08-07,180.6112946791449,194.52748891898636,179.66359970056928,192.4325714111328,9386323,ADANIENT.NS,3.74,True
2020-08-18,199.51537456900343,216.2746690771628,198.5177976961584,213.1821746826172,13367091,ADANIENT.NS,8.04,True
2020-08-19,213.73083182725384,244.8053434114288,213.73083182725384,238.9695281982422,19592028,ADANIENT.NS,12.1,True
2020-08-24,235.42812855643447,253.2348808092803,234.4305517405174,248.09735107421875,11878911,ADANIENT.NS,6.58,True
