Date,Open,High,Low,Close,Volume,Ticker
2020-01-01,679.0819971118469,683.1529137163456,673.490123328754,675.32421875,14004468,RELIANCE.NS
2020-01-02,676.397899264457,689.3487905881979,676.397899264457,686.8212280273438,17710316,RELIANCE.NS
2020-01-03,685.7923126356704,689.6619561224467,681.3187895160008,687.6488647460938,20984698,RELIANCE.NS
2020-01-06,679.9767186772816,683.5107670428088,670.13493269889,671.70068359375,24519177,RELIANCE.NS
2020-01-07,679.5292597584985,686.4632732386915,677.0688284082713,682.0344848632812,16683622,RELIANCE.NS
2020-01-08,677.7399630034671,686.440941615489,675.5032015883575,676.912353515625,16047902,RELIANCE.NS
2020-01-09,688.2974451452224,693.3972440896104,685.0094043047601,692.5025634765625,14982742,RELIANCE.NS
2020-01-10,694.2471733835102,696.9536717580928,688.7671054525405,692.345947265625,12478359,RELIANCE.NS
2020-01-13,691.182918802657,697.2892636445985,688.2080160085029,690.5789794921875,18282382,RELIANCE.NS
2020-01-14,688.9238120878065,693.3973351908096,680.8043754201078,684.181884765625,15816535,RELIANCE.NS
2020-01-15,687.067237525864,688.8789956511123,679.19380913835,681.698974609375,15817859,RELIANCE.NS
2020-01-16,684.0028644434916,690.4223472080394,683.5554644082378,687.9842529296875,12847975,RELIANCE.NS
2020-01-17,694.9630411899628,709.0322829800654,694.8288390890643,707.2652587890625,29463471,RELIANCE.NS
2020-01-20,719.7911481994419,719.7911481994419,682.839761284159,685.5015258789062,32545850,RELIANCE.NS
2020-01-21,683.8240435553602,691.5408742450458,680.8714775601642,686.1950073242188,18922720,RELIANCE.NS
2020-01-22,690.71323780845,691.9434536836012,684.9423678831845,685.9489135742188,10322817,RELIANCE.NS
2020-01-23,687.3579389707123,689.7960331159624,680.289783279673,683.041015625,11247739,RELIANCE.NS
2020-01-24,683.1081395891008,687.2909208972738,679.3280242942884,680.6701049804688,14628445,RELIANCE.NS
2020-01-27,677.6952189115842,681.9674086637826,673.2663704558863,673.9597778320312,13387750,RELIANCE.NS
2020-01-28,674.8769082130656,675.5032444510476,654.7460541997162,658.3919677734375,24532236,RELIANCE.NS
2020-01-29,659.4207487202938,668.5243925324733,654.9472262974796,662.0154418945312,24746565,RELIANCE.NS
2020-01-30,661.6352224321117,661.9483606637074,644.1884717288344,645.8660278320312,22402689,RELIANCE.NS
2020-01-31,650.0040116804691,650.1158766250334,629.5152871221561,631.5059814453125,34750310,RELIANCE.NS
2020-02-03,612.8290505582687,626.2720164126083,609.7646795449248,619.8077392578125,30712290,RELIANCE.NS
2020-02-04,626.2943485822723,640.8333280510134,625.3101998110101,638.1044921875,25383901,RELIANCE.NS
2020-02-05,641.9070191850406,649.914651287147,639.8492533342408,647.9910278320312,18472100,RELIANCE.NS
